Nombre_Concello,Longitud,Latitud
Poio,-8.70487161597655,42.4411174591974
Salvaterra de Miño,-8.48517419387151,42.1129847465654
Carballo,-8.66867575718454,43.2125522654764
Frades,-8.27752047227587,43.0452052959296
Melide,-8.03729992471542,42.9336712044645
Cortegada,-8.14934315424216,42.2077387702104
Sober,-7.55492983906528,42.4332213113842
Vilarmaior,-8.12315435159556,43.3565820248587
Leiro,-8.15653108733511,42.373198633301
Pontedeume,-8.15462133385231,43.4002055388844
Castroverde,-7.33535454390183,43.0231364146934
Oímbra,-7.52145891868291,41.8702780242871
Outeiro de Rei,-7.60524430620012,43.1005799738474
"Grove, O",-8.89020672178787,42.4735870745704
"Pastoriza, A",-7.35619162268337,43.3003847003022
Oleiros,-8.33079854653574,43.3499306984225
Beade,-8.13311322532203,42.3252261345334
Miño,-8.17874260420817,43.3561003072749
Cuntis,-8.55676138907364,42.6404567564154
Manzaneda,-7.22035684995371,42.2699782702311
"Laracha, A",-8.5536442042261,43.232342107408
"Somozas, As",-7.92028314652129,43.5248881392283
Sarria,-7.43183841678348,42.7719457870429
Padrenda,-8.15489624406861,42.1185571342449
Cambados,-8.80129099380781,42.5055523869869
Cee,-9.19533894601534,42.9694101045583
Alfoz,-7.43374271707138,43.5025304903568
Arzúa,-8.18243969262073,42.9268669704101
Verín,-7.416298736022,41.9065086500076
"Estrada, A",-8.45733101717226,42.686883278526
Entrimo,-8.13925177026024,41.9429088652497
Xunqueira de Ambía,-7.71664577158859,42.1800297541958
Sandiás,-7.74722680942329,42.1120676391947
Vilalba,-7.661821860593,43.3174826199099
Boborás,-8.17705084657579,42.4434450788858
"Pontes de García Rodríguez, As",-7.87315937908401,43.4637386789661
Riotorto,-7.26477878146447,43.3248845836346
Negueira de Muñiz,-6.89028604473195,43.1260724359301
Pontecesures,-8.63631240925916,42.7144618294644
Rodeiro,-7.94552693745325,42.6590709652203
"Baña, A",-8.7528691597356,42.9634270104879
Silleda,-8.27614596451511,42.6942232182468
Amoeiro,-7.94573129760142,42.3985427440785
Forcarei,-8.32265461100222,42.5791561106814
"Pobra do Brollón, A",-7.36729761331576,42.564026821522
"Pino, O",-8.32310316634551,42.9382124325439
Lobeira,-8.0470038958993,42.0013351177221
Lobios,-8.08706453220698,41.875469627873
Pedrafita do Cebreiro,-7.08344666760769,42.6924440650453
Ames,-8.6461680701395,42.8909870418458
Friol,-7.81355301185266,43.0407967226126
"Mezquita, A",-7.03380614442985,42.0068528093823
Sada,-8.28204295407587,43.35376385795
Maceda,-7.59997582346353,42.2567249276471
"Bola, A",-7.89754666078208,42.1451832124885
Aranga,-8.01285534293059,43.2228124320206
Arbo,-8.3191521267746,42.1233136924105
Pantón,-7.64797194449136,42.5059524316195
Ribadeo,-7.11279441298367,43.5122985041853
Moeche,-7.97909011469537,43.5653801803231
Cabanas,-8.13097687547815,43.4342456118757
Ferrol,-8.27039512355633,43.5098371959191
Marín,-8.70966720145605,42.3608014345962
Calvos de Randín,-7.85654598768529,41.9343438305529
Cualedro,-7.59451516122927,41.9622207242936
Begonte,-7.69339657040623,43.1579623627929
"Guarda, A",-8.8615798775523,41.9021273867669
Meis,-8.72254317601562,42.4965923124508
Esgos,-7.69663567941045,42.3334050155221
Rábade,-7.62237508165998,43.1248677035804
"Páramo, O",-7.52469360867146,42.8345539750841
Celanova,-7.9733655043609,42.1588319488331
"Capela, A",-8.04109746575507,43.4449449410574
Salceda de Caselas,-8.57434002496635,42.1004053244951
Cambre,-8.32891206349361,43.2797482836047
"Pontenova, A",-7.18402016763696,43.3251106628316
Oza-Cesuras,-8.18908564430681,43.1828422017937
Mañón,-7.7342909150274,43.6523589406969
Cerceda,-8.48335446796768,43.1670864153709
Cenlle,-8.07719783198392,42.3394944952855
Pontedeva,-8.13943303445484,42.1686627849746
Allariz,-7.80465966745048,42.1904926245457
Baleira,-7.21479868783567,43.0426175717755
Riós,-7.27492833209789,41.973144434888
"Merca, A",-7.9033558353318,42.2187983202927
Chantada,-7.80408640749413,42.6121190021598
Noia,-8.87136155388733,42.8009334751285
"Rúa, A",-7.12369504335148,42.4118221665247
Trasmiras,-7.6232082300379,42.0281916772007
Quintela de Leirado,-8.09071121361491,42.1239753735268
Boqueixón,-8.42261674621839,42.8275101524368
Rubiá,-6.89601273399559,42.468043640104
Oia,-8.84597681900039,42.0208267170539
Ponte Caldelas,-8.5168048762287,42.3850555679102
Campo Lameiro,-8.52479766306029,42.5439472770699
Mos,-8.62307773233279,42.1972618144765
Valga,-8.65402126765837,42.6901062135407
Ramirás,-8.03755094598862,42.1827194364527
Cospeito,-7.53564604774282,43.2217664084497
Gondomar,-8.74644411639293,42.1059420472674
"Pobra de Trives, A",-7.27850527439358,42.3253507745413
San Xoán de Río,-7.31353578484111,42.3859027981657
Petín,-7.09770237240805,42.3671382458288
Toén,-7.96631559391333,42.3067559826103
Ribadumia,-8.75756045572767,42.5134520180524
Bande,-7.97079517745556,42.0315506026657
Carral,-8.36006948675139,43.2120259369896
Narón,-8.16758790517243,43.5388197862457
Redondela,-8.61455324096461,42.2778822461573
Antas de Ulla,-7.90455417137214,42.7746237533806
San Sadurniño,-8.04751795808176,43.5285355621786
Betanzos,-8.22314194284403,43.2752317886477
Porqueira,-7.84394956154234,42.0185590082676
Ponteceso,-8.87846651734676,43.2611437932654
Fene,-8.15966017783243,43.4620878271076
Lugo,-7.56489787687993,43.001318955987
Bueu,-8.80410609494376,42.3276496843154
Ponteareas,-8.51526269804515,42.1864393271502
"Bolo, O",-7.10699545068644,42.2966263855646
Vimianzo,-9.0371977274226,43.0957187486999
Paradela,-7.57780455863346,42.7422367439176
Santiago de Compostela,-8.51718468049561,42.91054917227
Mondariz,-8.44490279538175,42.2432979927801
Carballeda de Valdeorras,-6.84537498698879,42.345237635181
Mondoñedo,-7.36807876123549,43.4394980511279
Xunqueira de Espadanedo,-7.6363604768706,42.3215634336144
"Gudiña, A",-7.16780584444179,42.0389056548405
Abegondo,-8.29501666314198,43.2090147772304
Muras,-7.66443549084844,43.4809517705888
"Barco de Valdeorras, O",-6.98238739132047,42.4152984842792
Catoira,-8.70650083267746,42.6585949732651
Nigrán,-8.79009205305658,42.1444668284351
Monfero,-7.99933233629348,43.3477239739829
Oroso,-8.38742736394451,42.9982663391301
Rois,-8.72523602717849,42.7884560477817
"Teixeira, A",-7.47681746778688,42.3703194888778
Paderne,-8.16139956416191,43.2951747390218
Larouco,-7.16595343805354,42.3542089494702
Rairiz de Veiga,-7.85473996205921,42.0909518124451
Castrelo do Val,-7.35802136561454,42.039144950432
Bergondo,-8.24878496122043,43.3115470872707
Boimorto,-8.13068549917619,43.0083932440501
"Pobra do Caramiñal, A",-8.94808306439304,42.6258494372476
Covelo,-8.34635800081004,42.2711114561637
Melón,-8.22200556341582,42.2746069418245
Foz,-7.32958213453725,43.5770295489273
Boiro,-8.88899004484876,42.6791557487651
Xermade,-7.79600681260595,43.3737349451221
Tomiño,-8.74888525078678,42.0055870174708
Santa Comba,-8.80683497669191,43.0454398982089
Outes,-8.92193406055923,42.8509595448389
"Irixo, O",-8.14092159237523,42.5139774992748
Guitiriz,-7.85621376650107,43.2064444336291
Santiso,-8.07082830930058,42.8683226176001
Castro Caldelas,-7.40409653952093,42.3744143978867
Moaña,-8.71630409791796,42.3004444214919
Mesía,-8.23425620154335,43.0991364805349
Vigo,-8.72253969751584,42.2036239473611
San Cibrao das Viñas,-7.85360865438247,42.2780844482533
Meira,-7.26027334748338,43.222531454841
Xinzo de Limia,-7.7060864939096,42.0445834398826
Vilamarín,-7.89147723019606,42.462919129281
Cartelle,-8.02146159438732,42.2389000784648
Vilaboa,-8.65239828447328,42.3512519814239
Muros,-9.03478306933234,42.8042179869649
Ribas de Sil,-7.29409226563746,42.435112384849
Nogueira de Ramuín,-7.70795690095729,42.3961045259617
Avión,-8.2727093887725,42.3879568113442
Vilanova de Arousa,-8.7762957576172,42.5537426736705
Piñor,-8.01161754239738,42.5229476960182
Soutomaior,-8.56725738495324,42.334877039133
Ordes,-8.39913124851916,43.0920691713661
Castrelo de Miño,-8.06470353486534,42.2942955333176
Xove,-7.51138049284744,43.6690806315822
Taboadela,-7.82648617513258,42.2482022287483
Punxín,-8.01089899304331,42.3707631655683
"Arnoia, A",-8.13212373559702,42.2512456439793
Carballedo,-7.80936530075082,42.5237276198668
Coles,-7.83838499626491,42.4065951699548
Burela,-7.36587353482839,43.6572118247176
Fisterra,-9.26047988240731,42.9372987929221
"Neves, As",-8.40113076394965,42.1219434824981
San Amaro,-8.06260649587152,42.3711593881803
Samos,-7.27703131265052,42.7121409300276
Dodro,-8.72011691296348,42.7227712936183
Sanxenxo,-8.82470165656547,42.4198098701054
Tui,-8.65919308324577,42.0649722569208
Baltar,-7.73761635284541,41.9350157086854
"Coruña, A",-8.42215699249261,43.3461003899225
Quiroga,-7.19320211328142,42.4909483856907
Ribadavia,-8.13674994359322,42.290381966504
"Incio, O",-7.36902911879617,42.6715878068586
Viana do Bolo,-7.07950328269514,42.1535888563615
Láncara,-7.33564928249121,42.8453729544183
Barro,-8.64522200923352,42.5250203561694
Portas,-8.66981027196927,42.5650529639463
Pazos de Borbén,-8.53554725765166,42.2862816950899
Triacastela,-7.21664702380333,42.7617218087381
Trazo,-8.53898261537146,43.0111789190634
Fornelos de Montes,-8.42439477346118,42.3313479562373
Montederramo,-7.50362073672753,42.2813265652023
Pol,-7.3314131185127,43.1411201845583
Mugardos,-8.23345118779047,43.4500350334558
Vilariño de Conso,-7.26635196277212,42.151253580272
Cerdedo-Cotobade,-8.45759461401077,42.4991966735455
Monterrei,-7.52139976122957,41.9474841308484
Mondariz-Balneario,-8.47100011293624,42.2218928581861
Castro de Rei,-7.43944047927346,43.1738769743227
Trabada,-7.17894307722272,43.4403118712108
Lalín,-8.1310613279373,42.6616482750211
"Blancos, Os",-7.75836186958513,41.9806759966543
Cabana de Bergantiños,-8.89567027082391,43.1943667027562
Cervo,-7.43174553236017,43.6439738072966
Paderne de Allariz,-7.74597082192686,42.2774531098196
Crecente,-8.21027006557731,42.1858837563779
Vedra,-8.46443781830439,42.7808292551699
Negreira,-8.81821061780357,42.9086897489034
Vilasantar,-8.09934625905167,43.0721471956449
Val do Dubra,-8.65402818320939,43.0196258102751
Palas de Rei,-7.87030508921676,42.8961846513524
Muíños,-7.96148275171863,41.9336200599004
Sarreaus,-7.60323791720311,42.1068863528869
Parada de Sil,-7.56200505705554,42.3627124459228
Mazaricos,-8.99167412967962,42.9300450425174
Chandrexa de Queixa,-7.37556963658753,42.250685714892
"Carballiño, O",-8.0768566977436,42.4414652904412
Folgoso do Courel,-7.17443271890422,42.6126166933843
Moraña,-8.58455076244364,42.5668630257349
"Pereiro de Aguiar, O",-7.7798737100764,42.3434468847871
Ortigueira,-7.82902067049638,43.6515201586263
Baños de Molgas,-7.67853092099345,42.2260639568371
Guntín,-7.65793415676502,42.9015705813969
"Saviñao, O",-7.64829914992151,42.6394961937902
Becerreá,-7.143275772995,42.8827332714082
Sobrado,-7.99746080813754,43.0563552293956
Beariz,-8.27963229986782,42.4802459033537
Vilamartín de Valdeorras,-7.05362653976038,42.4483979006585
Vilar de Santos,-7.80325718192239,42.0965669710971
Neda,-8.12629330710464,43.4981884538091
"Cañiza, A",-8.28993155777871,42.2023885974043
Cangas,-8.81238528888461,42.2765991629186
Ribeira,-9.01179696802654,42.5754858014497
Padrón,-8.63108510453723,42.7573492989064
Portomarín,-7.68312628233162,42.8171006580791
Bóveda,-7.49522324860343,42.6355314595582
Pontevedra,-8.61973173547645,42.4371012415001
Maside,-8.01817244423409,42.4194539346141
Vilardevós,-7.3012553346881,41.9015521567747
Brión,-8.7209634523618,42.8517293987177
Cervantes,-6.96659451306973,42.8303713175561
San Cristovo de Cea,-7.95619079388923,42.4988125377154
Ribeira de Piquín,-7.19598255090515,43.1911815250742
"Fonsagrada, A",-7.08023576924985,43.1337034927977
Vilagarcía de Arousa,-8.75152909516694,42.5970280219993
Vilar de Barrio,-7.56162514715083,42.1726425214004
Verea,-7.99124668310719,42.094922738696
Touro,-8.31220457966948,42.8574837928279
Baralla,-7.25256275470042,42.9067158813117
Arteixo,-8.50804982207741,43.2996296887182
"Illa de Arousa, A",-8.87426957789653,42.5517552056024
Taboada,-7.76010310291597,42.7182309281287
"Veiga, A",-6.95886390330379,42.2651328441753
Lousame,-8.83599382850862,42.7652641152746
Lourenzá,-7.28354489776182,43.4544332521577
Monterroso,-7.80259881528701,42.8169552964885
Ourense,-7.88986426452108,42.350746285301
Curtis,-8.04562367163589,43.135192365157
Abadín,-7.49216272698452,43.3725495457305
Carnota,-9.1019621121451,42.8456012239991
"Corgo, O",-7.4345232658549,42.9306338090391
Dozón,-8.04655155566692,42.5900872674569
Viveiro,-7.58815573960806,43.6333849936536
Baiona,-8.844283913471,42.0920812639847
Barbadás,-7.90736764312329,42.3005624041271
Dumbría,-9.0971531994197,42.9884040049194
Ares,-8.25702829566934,43.4377696750861
Navia de Suarna,-6.96420168778767,42.9574583886101
Camariñas,-9.14552486122939,43.1599763227433
Irixoa,-8.06959042111912,43.2854952148423
Teo,-8.56489083774855,42.7972297715299
Culleredo,-8.40621753911224,43.273174834878
Malpica de Bergantiños,-8.81418546668382,43.2971415648999
Barreiros,-7.2295961947085,43.5191312939615
Caldas de Reis,-8.65721640822933,42.615382563273
"Porriño, O",-8.62894190155993,42.1331975955364
Corcubión,-9.19830277491214,42.9315216509393
Coristanco,-8.76800386373045,43.1607798701041
"Rosal, O",-8.83318567829492,41.9399378681033
Rianxo,-8.78568205526004,42.684068800585
Valdoviño,-8.12312481820313,43.6031782928824
"Peroxa, A",-7.80198261998282,42.4555915194059
"Nogais, As",-7.1013786754363,42.7750888655551
Toques,-7.95450678754105,42.9696984201029
"Valadouro, O",-7.48138788993452,43.5378857009831
Cerdido,-7.96207786276921,43.6116979155738
Monforte de Lemos,-7.49329867714706,42.5180713154959
Carballeda de Avia,-8.18847832615903,42.32902236529
Coirós,-8.13814048182089,43.2418258457932
Cedeira,-8.0049783861193,43.6735876279707
Porto do Son,-8.98898959345483,42.6855273534019
Agolada,-8.03320762079076,42.7881244786716
"Vicedo, O",-7.67126576266762,43.6827434709152
Tordoia,-8.56053264797577,43.0881034114706
Zas,-8.92545534109765,43.0908492602752
Ourol,-7.6422560776178,43.5604497782619
Gomesende,-8.09834857845343,42.1889018818893
Cariño,-7.90125855243957,43.7264112854155
"Lama, A",-8.38744452048462,42.4119331962793
Laza,-7.45398166512067,42.0998164791973
Muxía,-9.19306258108046,43.0578375599514
Vila de Cruces,-8.22015747380671,42.7985414238835
Laxe,-9.01920530946287,43.1876443234788
Meaño,-8.78457778905684,42.4498666807585
